Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
791,27/01/2008,FA Cup,Round 4,Home,Manchester Utd,Tottenham,Y,Right Foot,88,3-1,Cerny,Ryan Giggs,7,22,1
792,19/01/2008,Premier League,Matchweek 23,Away,Manchester Utd,Reading,Y,Right Foot,90+3,2-0,Marcus Hahnemann,Darren Fletcher,7,22,1
793,12/01/2008,Premier League,Matchweek 22,Home,Manchester Utd,Newcastle Utd,Y,Right Foot,70,6-0,Shay Given,Carlos Tevez,7,22,1
794,12/01/2008,Premier League,Matchweek 22,Home,Manchester Utd,Newcastle Utd,Y,Right Foot,49,6-0,Shay Given,Free kick,7,22,1
795,12/01/2008,Premier League,Matchweek 22,Home,Manchester Utd,Newcastle Utd,Y,Left Foot,88,6-0,Shay Given,No assist,7,22,1
796,05/01/2008,FA Cup,Round 3,Away,Manchester Utd,Aston Villa,Y,Left Foot,81,2-0,Scott Carson,Ryan Giggs,7,22,1
797,29/12/2007,Premier League,Matchweek 20,Away,Manchester Utd,West Ham,Y,Head,14,2-1,Robert Green,Ryan Giggs,7,22,1
798,26/12/2007,Premier League,Matchweek 19,Away,Manchester Utd,Sunderland,Y,Right Foot,45,4-0,Craig Gordon,Free kick,7,22,1
799,23/12/2007,Premier League,Matchweek 18,Home,Manchester Utd,Everton,Y,Right Foot,88,2-1,Tim Howard,Penalti,7,22,1
800,23/12/2007,Premier League,Matchweek 18,Home,Manchester Utd,Everton,Y,Left Foot,22,2-1,Tim Howard,Carlos Tevez,7,22,1
801,08/12/2007,Premier League,Matchweek 16,Home,Manchester Utd,Derby County,Y,Right Foot,90,4-1,Stephen Bywater,Penalti,7,22,1
802,03/12/2007,Premier League,Matchweek 15,Home,Manchester Utd,Fulham,Y,Right Foot,10,2-0,Antti Niemi,Nemanja Vidic,7,22,1
803,03/12/2007,Premier League,Matchweek 15,Home,Manchester Utd,Fulham,Y,Head,58,2-0,Antti Niemi,John O'Shea,7,22,1
804,27/11/2007,Champions League,Group stage,Home,Manchester Utd,Sporting CP,Y,Right Foot,90+2,2-1,Tiago Ferreira,Free kick,7,22,1
805,11/11/2007,Premier League,Matchweek 13,Home,Manchester Utd,Blackburn,Y,Head,34,2-0,Brad Friedel,Ryan Giggs,7,22,1
806,11/11/2007,Premier League,Matchweek 13,Home,Manchester Utd,Blackburn,Y,Right Foot,35,2-0,Brad Friedel,Carlos Tevez,7,22,1
807,07/11/2007,Champions League,Group stage,Home,Manchester Utd,Dynamo Kyiv,Y,Right Foot,88,4-0,Oleksandr Shovkovskyi,Patrice Evra,7,22,1
808,03/11/2007,Premier League,Matchweek 12,Away,Manchester Utd,Arsenal,Y,Left Foot,82,2-2,Manuel Almunia,Patrice Evra,7,22,1
809,23/10/2007,Champions League,Group stage,Away,Manchester Utd,Dynamo Kyiv,Y,Head,68,4-2,Oleksandr Shovkovskyi,Tiberiu Ghioane,7,22,1
810,23/10/2007,Champions League,Group stage,Away,Manchester Utd,Dynamo Kyiv,Y,Right Foot,41,4-2,Oleksandr Shovkovskyi,Penalti,7,22,1
811,17/10/2007,UEFA Euro Qualifying,Group stage,Away,Portugal,Kazakhstan,Y*,Left Foot,90+1,1-0,David Loria,Nani,7,22,1
812,06/10/2007,Premier League,Matchweek 9,Home,Manchester Utd,Wigan Athletic,Y,Right Foot,76,4-0,Chris Kirkland,Wayne Rooney,7,22,1
813,06/10/2007,Premier League,Matchweek 9,Home,Manchester Utd,Wigan Athletic,Y,Head,59,4-0,Chris Kirkland,No assist,7,22,1
814,29/09/2007,Premier League,Matchweek 8,Away,Manchester Utd,Birmingham City,Y,Left Foot,51,1-0,Maik Taylor,Rio Ferdinand,7,22,1
815,19/09/2007,Champions League,Group stage,Away,Manchester Utd,Sporting CP,Y,Head,62,1-0,Tiago Ferreira,Wes Brown,7,22,1
816,08/09/2007,UEFA Euro Qualifying,Group stage,Home,Portugal,Poland,Y,Right Foot,73,1-1,Artur Boruc,No assist,7,22,1
817,22/08/2007,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y,Right Foot,37,0-1,Roman Berezovsky,No assist,7,22,1
818,05/05/2007,Premier League,Matchweek 37,Away,Manchester Utd,Manchester City,Y,Right Foot,34,1-0,Andreas Isaksson,Penalti,7,22,1
819,24/04/2007,Champions League,Semi-finals,Home,Manchester Utd,AC Milan,Y,Head,5,3-2,Dida,Ryan Giggs,7,22,1
820,14/04/2007,FA Cup,Semi-finals,Away,Manchester Utd,Watford,Y,Right Foot,28,4-1,Doni,Wayne Rooney,7,22,1
821,10/04/2007,Champions League,Quarter-finals,Home,Manchester Utd,Roma,Y,Right Foot,44,7-1,Doni,Ryan Giggs,7,22,1
822,10/04/2007,Champions League,Quarter-finals,Home,Manchester Utd,Roma,Y,Right Foot,49,7-1,Doni,Ryan Giggs,7,22,1
823,24/03/2007,UEFA Euro Qualifying,Group stage,Home,Portugal,Belgium,Y,Left Foot,75,4-0,Stijn Stijnen,No assist,7,22,1
824,24/03/2007,UEFA Euro Qualifying,Group stage,Home,Portugal,Belgium,Y,Head,55,3-0,Stijn Stijnen,Ricardo Quaresma,7,22,1
825,19/03/2007,FA Cup,round 6 decisive matches,Home,Manchester Utd,Middlesbrough,Y,Right Foot,76,2-2,Mark Schwarzer,Penalti,7,22,1
826,10/03/2007,FA Cup,Round 6,Away,Manchester Utd,Middlesbrough,Y,Right Foot,68,2-2,Mark Schwarzer,Penalti,7,22,1
827,24/02/2007,Premier League,Matchweek 28,Away,Manchester Utd,Fulham,Y,Right Foot,88,2-1,Jan Oblak,Mikael Silvestre,7,22,1
828,04/02/2007,Premier League,Matchweek 26,Away,Manchester Utd,Tottenham,Y,Right Foot,45,4-0,Paul Robinson,Penalti,7,22,1
829,31/01/2007,Premier League,Matchweek 25,Home,Manchester Utd,Watford,Y,Right Foot,20,4-0,Richard Lee,Penalti,7,22,1
830,13/01/2007,Premier League,Matchweek 23,Home,Manchester Utd,Aston Villa,Y,Head,35,3-1,Thomas Sorensen,Michael Carrick,7,21,1
831,30/12/2006,Premier League,Matchweek 21,Home,Manchester Utd,Reading,Y,Right Foot,77,3-2,Marcus Hahnemann,Ryan Giggs,7,21,1
832,30/12/2006,Premier League,Matchweek 21,Home,Manchester Utd,Reading,Y,Right Foot,59,3-2,Marcus Hahnemann,No assist,7,21,1
833,26/12/2006,Premier League,Matchweek 20,Home,Manchester Utd,Wigan Athletic,N,Head,47,3-1,Chris Kirkland,Paul Scholes,7,21,1
834,26/12/2006,Premier League,Matchweek 20,Home,Manchester Utd,Wigan Athletic,N,Right Foot,51,3-1,Chris Kirkland,Penalti,7,21,1
