Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
182,11/12/2019,Champions League,Group stage,Away,Juventus,Leverkusen,Y,Right Foot,75,2-0,Lukas Hradecky,Paulo Dybala,7,34,1
183,07/12/2019,Serie A,Matchweek 15,Away,Juventus,Lazio,Y,Right Foot,25,1-3,Thomas Strakosha,Rodrigo Bentancur,7,34,1
184,01/12/2019,Serie A,Matchweek 14,Home,Juventus,Sassuolo,Y,Right Foot,68,2-2,Stefano Turati,Penalti,7,34,1
185,17/11/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Luxembourg,Y,Right Foot,86,1-0,Anthony Moris,Diogo Jota,7,34,1
186,14/11/2019,UEFA Euro Qualifying,Group stage,Home,Portugal,Lithuania,Y*,Right Foot,7,5-0,Ernestas Setkus,Penalti,7,34,1
187,14/11/2019,UEFA Euro Qualifying,Group stage,Home,Portugal,Lithuania,Y*,Right Foot,65,5-0,Ernestas Setkus,Bernardo Silva,7,34,1
188,14/11/2019,UEFA Euro Qualifying,Group stage,Home,Portugal,Lithuania,Y*,Right Foot,22,5-0,Ernestas Setkus,Goncalo Paciencia,7,34,1
189,30/10/2019,Serie A,Matchweek 10,Home,Juventus,Genoa,Y,Right Foot,90+6,2-1,Ionut Radu,Penalti,7,34,1
190,19/10/2019,Serie A,Matchweek 8,Home,Juventus,Bologna,Y,Right Foot,19,2-1,Lukasz Skorupski,No assist,7,34,1
191,14/10/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Ukraine,Y*,Right Foot,72,0-2,Andriy Pyatov,Penalti,7,34,1
192,11/10/2019,UEFA Euro Qualifying,Group stage,Home,Portugal,Luxembourg,Y*,Right Foot,65,1-0,Anthony Moris,No assist,7,34,1
193,01/10/2019,Champions League,Group stage,Home,Juventus,Leverkusen,Y,Right Foot,88,3-0,Lukas Hradecky,Paulo Dybala,7,34,1
194,28/09/2019,Serie A,Matchweek 6,Home,Juventus,SPAL,Y,Head,78,2-0,Etrit Berisha,Paulo Dybala,7,34,1
195,21/09/2019,Serie A,Matchweek 4,Home,Juventus,Hellas Verona,Y,Right Foot,49,2-1,Marco Silvestri,Penalti,7,34,1
196,10/09/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Lithuania,Y*,Right Foot,65,3-1,Ernestas Setkus,Bernardo Silva,7,34,1
197,10/09/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Lithuania,Y*,Right Foot,76,3-1,Ernestas Setkus,Bernardo Silva,7,34,1
198,10/09/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Lithuania,Y*,Right Foot,7,3-1,Ernestas Setkus,Penalti,7,34,1
199,10/09/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Lithuania,Y*,Right Foot,62,3-1,Ernestas Setkus,Rafa Silva,7,34,1
200,07/09/2019,UEFA Euro Qualifying,Group stage,Away,Portugal,Serbia,Y*,Right Foot,80,2-1,Marko Dmitrovic,Bernardo Silva,7,34,1
201,31/08/2019,Serie A,Matchweek 2,Home,Juventus,Napoli,Y,Left Foot,62,4-3,Alex Meret,Douglas Costa,7,34,1
202,05/06/2019,UEFA Nations League,Semi-finals,Neutral,Portugal,Switzerland,Y*,Right Foot,90,2-1,Yann Sommer,Goncalo Guedes,7,34,1
203,05/06/2019,UEFA Nations League,Semi-finals,Neutral,Portugal,Switzerland,Y*,Right Foot,88,2-1,Yann Sommer,Bernardo Silva,7,34,1
204,05/06/2019,UEFA Nations League,Semi-finals,Neutral,Portugal,Switzerland,Y*,Right Foot,25,2-1,Yann Sommer,Free kick,7,34,1
205,03/05/2019,Serie A,Matchweek 35,Home,Juventus,Torino,Y,Head,84,1-1,Salvatore Sirigu,Leonardo Spinazzola,7,34,1
206,27/04/2019,Serie A,Matchweek 34,Away,Juventus,Inter Milan,Y,Left Foot,62,1-1,Samir Handanovic,Miralem Pjanic,7,34,1
207,16/04/2019,Champions League,Quarter-finals,Home,Juventus,Ajax,Y,Head,28,1-2,André Onana,Miralem Pjanic,7,34,1
208,10/04/2019,Champions League,Quarter-finals,Away,Juventus,Ajax,Y,Head,45,1-1,André Onana,Joao Cancelo,7,34,1
209,12/03/2019,Champions League,Round of 16,Home,Juventus,Atletico Madrid,Y,Right Foot,86,3-0,Jan Oblak,Penalti,7,34,1
210,12/03/2019,Champions League,Round of 16,Home,Juventus,Atletico Madrid,Y,Head,48,3-0,Jan Oblak,Joao Cancelo,7,34,1
211,12/03/2019,Champions League,Round of 16,Home,Juventus,Atletico Madrid,Y,Head,27,3-0,Jan Oblak,Federico Bernardeschi,7,34,1
212,15/02/2019,Serie A,Matchweek 24,Home,Juventus,Frosinone,Y,Right Foot,63,3-0,Marco Sportiello,Mario Mandzukic,7,34,1
213,10/02/2019,Serie A,Matchweek 23,Away,Juventus,Sassuolo,Y,Head,70,3-0,Andrea Consigli,Miralem Pjanic,7,34,1
214,02/02/2019,Serie A,Matchweek 22,Home,Juventus,Parma,Y,Head,66,3-3,Luigi Sepe,Mario Mandzukic,7,34,1
215,02/02/2019,Serie A,Matchweek 22,Home,Juventus,Parma,Y,Right Foot,36,3-3,Luigi Sepe,Blaise Matuidi,7,34,1
216,27/01/2019,Serie A,Matchweek 21,Away,Juventus,Lazio,Y,Right Foot,88,2-1,Thomas Strakosha,Penalti,7,33,1
217,16/01/2019,Supercoppa Italiana,Final,Neutral,Juventus,AC Milan,Y,Head,61,2-0,Gianluigi Donnarumma,Miralem Pjanic,7,33,1
218,29/12/2018,Serie A,Matchweek 19,Home,Juventus,Sampdoria,Y,Right Foot,65,2-1,Emil Audero,Penalti,7,33,1
219,29/12/2018,Serie A,Matchweek 19,Home,Juventus,Sampdoria,Y,Right Foot,2,2-1,Emil Audero,Paulo Dybala,7,33,1
220,26/12/2018,Serie A,Matchweek 18,Away,Juventus,Atalanta,N,Head,78,2-2,Etrit Berisha,Mario Mandzukic,7,33,1
221,15/12/2018,Serie A,Matchweek 16,Away,Juventus,Torino,Y,Right Foot,70,1-0,Salvador Ichazo,Penalti,7,33,1
222,01/12/2018,Serie A,Matchweek 14,Away,Juventus,Fiorentina,Y,Right Foot,79,3-0,Alban Lafont,Penalti,7,33,1
223,24/11/2018,Serie A,Matchweek 13,Home,Juventus,SPAL,Y,Left Foot,28,2-0,Alfred Gomis,Miralem Pjanic,7,33,1
224,11/11/2018,Serie A,Matchweek 12,Away,Juventus,AC Milan,Y,Right Foot,81,2-0,Gianluigi Donnarumma,No assist,7,33,1
225,07/11/2018,Champions League,Group stage,Home,Juventus,Manchester Utd,Y,Right Foot,65,1-2,David de Gea,Leonardo Bonucci,7,33,1
226,27/10/2018,Serie A,Matchweek 10,Away,Juventus,Empoli,Y,Right Foot,70,2-1,Ivan Provedel,Blaise Matuidi,7,33,1
227,27/10/2018,Serie A,Matchweek 10,Away,Juventus,Empoli,Y,Right Foot,54,2-1,Ivan Provedel,Penalti,7,33,1
228,20/10/2018,Serie A,Matchweek 9,Home,Juventus,Genoa,Y,Right Foot,18,1-1,Ionut Radu,No assist,7,33,1
229,06/10/2018,Serie A,Matchweek 8,Away,Juventus,Udinese,Y,Left Foot,37,2-0,Simone Scuffet,Mario Mandzukic,7,33,1
230,23/09/2018,Serie A,Matchweek 5,Away,Juventus,Frosinone,Y,Left Foot,81,2-0,Marco Sportiello,No assist,7,33,1
231,16/09/2018,Serie A,Matchweek 4,Home,Juventus,Sassuolo,Y,Left Foot,65,2-1,Andrea Consigli,Emre Can,7,33,1
232,16/09/2018,Serie A,Matchweek 4,Home,Juventus,Sassuolo,Y,Right Foot,50,2-1,Andrea Consigli,No assist,7,33,1
233,20/06/2018,World Cup,Group stage,Neutral,Portugal,Morocco,Y*,Head,4,0-0,Munir,Joao Moutinho,7,33,1
234,15/06/2018,World Cup,Group stage,Neutral,Portugal,Spain,Y*,Right Foot,88,2-3,David de Gea,Free kick,7,33,1
235,15/06/2018,World Cup,Group stage,Neutral,Portugal,Spain,Y*,Left Foot,44,2-3,David de Gea,Goncalo Guedes,7,33,1
236,15/06/2018,World Cup,Group stage,Neutral,Portugal,Spain,Y*,Right Foot,4,2-3,David de Gea,Penalti,7,33,1
237,19/05/2018,La Liga,Matchweek 38,Away,Real Madrid,Villarreal,Y,Head,32,2-2,Andrés Fernández,Marcelo,7,33,1
238,06/05/2018,La Liga,Matchweek 36,Away,Real Madrid,Barcelona,Y,Right Foot,14,2-2,Marc-André ter Stegen,Karim Benzema,7,33,1
239,18/04/2018,La Liga,Matchweek 33,Home,Real Madrid,Athletic Club,Y,Right Foot,87,1-1,Kepa Arrizabalaga,Luka Modric,7,33,1
240,11/04/2018,Champions League,Quarter-finals,Home,Real Madrid,Juventus,Y,Right Foot,90+7,1-3,Wojciech Szczesny,Penalti,7,33,1
241,08/04/2018,La Liga,Matchweek 31,Home,Real Madrid,Atletico Madrid,Y,Right Foot,53,1-1,Jan Oblak,Gareth Bale,7,33,1
242,03/04/2018,Champions League,Quarter-finals,Away,Real Madrid,Juventus,Y,Right Foot,64,3-0,Gianluigi Buffon,Dani Carvajal,7,33,1
243,03/04/2018,Champions League,Quarter-finals,Away,Real Madrid,Juventus,Y,Right Foot,3,3-0,Gianluigi Buffon,Isco,7,33,1
244,23/03/2018,Friendlies (M),Frendly,Home,Portugal,Egypt,Y*,Head,90+4,1-1,Mohamed El-Shenawy,Ricardo Quaresma,7,33,1
245,23/03/2018,Friendlies (M),Frendly,Home,Portugal,Egypt,Y*,Head,90+2,1-1,Mohamed El-Shenawy,Ricardo Quaresma,7,33,1
246,18/03/2018,La Liga,Matchweek 29,Home,Real Madrid,Girona,Y,Right Foot,90+1,6-3,Yassine Bounou,Toni Kroos,7,33,1
247,18/03/2018,La Liga,Matchweek 29,Home,Real Madrid,Girona,Y,Right Foot,64,6-3,Yassine Bounou,No assist,7,33,1
248,18/03/2018,La Liga,Matchweek 29,Home,Real Madrid,Girona,Y,Left Foot,47,6-3,Yassine Bounou,Karim Benzema,7,33,1
249,18/03/2018,La Liga,Matchweek 29,Home,Real Madrid,Girona,Y,Left Foot,11,6-3,Yassine Bounou,Toni Kroos,7,33,1
250,10/03/2018,La Liga,Matchweek 28,Away,Real Madrid,Eibar,Y,Head,84,2-1,Marko Dmitrovic,Dani Carvajal,7,33,1
251,10/03/2018,La Liga,Matchweek 28,Away,Real Madrid,Eibar,Y,Right Foot,34,2-1,Marko Dmitrovic,Luka Modric,7,33,1
252,06/03/2018,Champions League,Round of 16,Away,Real Madrid,PSG,Y,Head,51,2-1,Alphonse Areola,Lucas Vázquez,7,33,1
253,03/03/2018,La Liga,Matchweek 27,Home,Real Madrid,Getafe,Y,Head,78,3-1,Emiliano Martínez,Marcelo,7,33,1
254,03/03/2018,La Liga,Matchweek 27,Home,Real Madrid,Getafe,Y,Left Foot,45+1,3-1,Emiliano Martínez,Karim Benzema,7,33,1
255,24/02/2018,La Liga,Matchweek 25,Home,Real Madrid,Alaves,Y*,Right Foot,61,4-0,Fernando Pacheco,Lucas Vázquez,7,33,1
256,24/02/2018,La Liga,Matchweek 25,Home,Real Madrid,Alaves,Y*,Left Foot,44,4-0,Fernando Pacheco,Karim Benzema,7,33,1
257,18/02/2018,La Liga,Matchweek 24,Away,Real Madrid,Betis,Y,Right Foot,65,5-3,Antonio Adán,Casemiro,7,33,1
258,14/02/2018,Champions League,Round of 16,Home,Real Madrid,PSG,Y,Left knee,83,3-1,Alphonse Areola,No assist,7,33,1
259,14/02/2018,Champions League,Round of 16,Home,Real Madrid,PSG,Y,Right Foot,45,3-1,Alphonse Areola,Penalti,7,33,1
260,10/02/2018,La Liga,Matchweek 23,Home,Real Madrid,Real Sociedad,Y,Left Foot,80,5-2,Gerónimo Rulli,No assist,7,33,1
261,10/02/2018,La Liga,Matchweek 23,Home,Real Madrid,Real Sociedad,Y,Head,37,5-2,Gerónimo Rulli,Luka Modric,7,33,1
262,10/02/2018,La Liga,Matchweek 23,Home,Real Madrid,Real Sociedad,Y,Right Foot,27,5-2,Gerónimo Rulli,Marcelo,7,33,1
263,27/01/2018,La Liga,Matchweek 21,Away,Real Madrid,Valencia,Y,Right Foot,38,4-1,Neto,Penalti,7,32,1
264,27/01/2018,La Liga,Matchweek 21,Away,Real Madrid,Valencia,Y,Right Foot,16,4-1,Neto,Penalti,7,32,1
265,21/01/2018,La Liga,Matchweek 20,Home,Real Madrid,La Coruña,Y,Head,84,7-1,Rubén,Lucas Vázquez,7,32,1
266,21/01/2018,La Liga,Matchweek 20,Home,Real Madrid,La Coruña,Y,Left Foot,78,7-1,Rubén,Casemiro,7,32,1
267,16/12/2017,Club World Cup,Final,Neutral,Real Madrid,Gremio,Y,Right Foot,53,1-0,Grohe,Free kick,7,32,1
268,13/12/2017,Club World Cup,Semi-finals,Away,Real Madrid,Al-Jazira,Y,Right Foot,53,2-1,Ali Khaseif,Luka Modric,7,32,1
269,09/12/2017,La Liga,Matchweek 15,Home,Real Madrid,Sevilla,Y,Right Foot,31,5-0,Sergio Rico,Penalti,7,32,1
270,09/12/2017,La Liga,Matchweek 15,Home,Real Madrid,Sevilla,Y,Right Foot,23,5-0,Sergio Rico,Marco Asensio,7,32,1
271,06/12/2017,Champions League,Group stage,Home,Real Madrid,Dortmund,Y,Right Foot,12,3-2,Roman Burki,Mateo Kovacic,7,32,1
272,25/11/2017,La Liga,Matchweek 13,Home,Real Madrid,Malaga,Y,Right Foot,76,3-2,Roberto Jiménez,Penalti,7,32,1
273,21/11/2017,Champions League,Group stage,Away,Real Madrid,APOEL FC,Y,Left Foot,54,6-0,Nauzet Pérez,No assist,7,32,1
274,21/11/2017,Champions League,Group stage,Away,Real Madrid,APOEL FC,Y,Head,49,6-0,Nauzet Pérez,Marcelo,7,32,1
275,01/11/2017,Champions League,Group stage,Away,Real Madrid,Tottenham,Y,Right Foot,80,1-3,Hugo Lloris,Borja Mayoral,7,32,1
276,17/10/2017,Champions League,Group stage,Home,Real Madrid,Tottenham,Y,Right Foot,43,1-1,Hugo Lloris,Penalti,7,32,1
277,14/10/2017,La Liga,Matchweek 8,Away,Real Madrid,Getafe,Y,Right Foot,85,2-1,Vicente Guaita,Isco,7,32,1
278,07/10/2017,WCQ,First round,Away,Portugal,Andorra,N,Left Foot,63,0-0,Josep Gómes,No assist,7,32,1
279,26/09/2017,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Right Foot,79,3-1,Roman Burki,Luka Modric,7,32,1
280,26/09/2017,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Left Foot,49,3-1,Roman Burki,Gareth Bale,7,32,1
281,13/09/2017,Champions League,Group stage,Home,Real Madrid,APOEL FC,Y,Right Foot,51,3-0,Boy Waterman,Penalti,7,32,1
282,13/09/2017,Champions League,Group stage,Home,Real Madrid,APOEL FC,Y,Right Foot,12,3-0,Boy Waterman,Gareth Bale,7,32,1
283,31/08/2017,WCQ,First round,Home,Portugal,Faroe Islands,Y*,Left Foot,64,3-1,Gunnar Nielsen,William Carvalho,7,32,1
284,31/08/2017,WCQ,First round,Home,Portugal,Faroe Islands,Y*,Right Foot,29,3-1,Gunnar Nielsen,Penalti,7,32,1
285,31/08/2017,WCQ,First round,Home,Portugal,Faroe Islands,Y*,Right Foot,3,3-1,Gunnar Nielsen,Bernardo Silva,7,32,1
286,13/08/2017,Supercopa De España,Final,Away,Real Madrid,Barcelona,N,Right Foot,80,3-1,Marc-André ter Stegen,Isco,7,32,1
287,24/06/2017,FIFA Confederations Cup,Group stage,Neutral,Portugal,New Zealand,Y*,Right Foot,33,0-0,Stefan Marinovic,Penalti,7,32,1
288,21/06/2017,FIFA Confederations Cup,Group stage,Neutral,Portugal,Russia,Y*,Head,8,0-0,Igor Akinfeev,Raphael Guerreiro,7,32,1
289,09/06/2017,WCQ,First round,Away,Portugal,Latvia,Y*,Head,63,1-0,Andris Vanins,No assist,7,32,1
290,09/06/2017,WCQ,First round,Away,Portugal,Latvia,Y*,Head,41,1-0,Andris Vanins,José Fonte,7,32,1
291,03/06/2017,Champions League,Final,Neutral,Real Madrid,Juventus,Y,Right Foot,64,4-1,Gianluigi Buffon,Luka Modric,7,32,1
292,03/06/2017,Champions League,Final,Neutral,Real Madrid,Juventus,Y,Right Foot,20,4-1,Gianluigi Buffon,Dani Carvajal,7,32,1
293,21/05/2017,La Liga,Matchweek 38,Away,Real Madrid,Malaga,Y,Right Foot,2,2-0,Carlos Kameni,Isco,7,32,1
294,17/05/2017,La Liga,Matchweek 21,Away,Real Madrid,Celta Vigo,Y,Left Foot,48,4-1,Sergio Álvarez,Isco,7,32,1
295,17/05/2017,La Liga,Matchweek 21,Away,Real Madrid,Celta Vigo,Y,Left Foot,10,4-1,Sergio Álvarez,Isco,7,32,1
296,14/05/2017,La Liga,Matchweek 37,Home,Real Madrid,Sevilla,Y,Left Foot,78,4-1,Sergio Rico,Toni Kroos,7,32,1
297,14/05/2017,La Liga,Matchweek 37,Home,Real Madrid,Sevilla,Y,Right Foot,23,4-1,Sergio Rico,No assist,7,32,1
298,02/05/2017,Champions League,Semi-finals,Home,Real Madrid,Atletico Madrid,Y,Right Foot,86,3-0,Jan Oblak,Lucas Vázquez,7,32,1
299,02/05/2017,Champions League,Semi-finals,Home,Real Madrid,Atletico Madrid,Y,Right Foot,73,3-0,Jan Oblak,Karim Benzema,7,32,1
300,02/05/2017,Champions League,Semi-finals,Home,Real Madrid,Atletico Madrid,Y,Head,10,3-0,Jan Oblak,Casemiro,7,32,1
301,29/04/2017,La Liga,Matchweek 35,Home,Real Madrid,Valencia,Y,Head,27,2-1,Diego Alves,Dani Carvajal,7,32,1
302,18/04/2017,Champions League,Quarter-finals,Home,Real Madrid,Bayern Munich,Y,Right Foot,110,4-2,Manuel Neuer,Marcelo,7,32,1
303,18/04/2017,Champions League,Quarter-finals,Home,Real Madrid,Bayern Munich,Y,Left Foot,105,4-2,Manuel Neuer,Sergio Ramos,7,32,1
304,18/04/2017,Champions League,Quarter-finals,Home,Real Madrid,Bayern Munich,Y,Head,76,4-2,Manuel Neuer,Casemiro,7,32,1
305,12/04/2017,Champions League,Quarter-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,77,2-1,Manuel Neuer,Marco Asensio,7,32,1
306,12/04/2017,Champions League,Quarter-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,47,2-1,Manuel Neuer,Dani Carvajal,7,32,1
307,28/03/2017,Friendlies (M),Frendly,Home,Portugal,Sweden,Y*,Right Foot,18,0-0,Karl-Johan Johnsson,Gelson Martins,7,32,1
308,25/03/2017,WCQ,First round,Home,Portugal,Hungary,Y*,Right Foot,65,2-0,Péter Gulácsi,Free kick,7,32,1
309,25/03/2017,WCQ,First round,Home,Portugal,Hungary,Y*,Left Foot,36,2-0,Péter Gulácsi,Andre Gomes,7,32,1
310,12/03/2017,La Liga,Matchweek 27,Home,Real Madrid,Betis,Y,Head,41,2-1,Antonio Adán,Marcelo,7,32,1
311,01/03/2017,La Liga,Matchweek 25,Home,Real Madrid,Las Palmas,Y,Head,89,3-3,Javi Varas,James Rodríguez,7,32,1
312,01/03/2017,La Liga,Matchweek 25,Home,Real Madrid,Las Palmas,Y,Right Foot,86,3-3,Javi Varas,Penalti,7,32,1
313,26/02/2017,La Liga,Matchweek 24,Away,Real Madrid,Villarreal,Y,Right Foot,74,3-2,Andrés Fernández,Penalti,7,32,1
314,22/02/2017,La Liga,Matchweek 16,Away,Real Madrid,Valencia,Y,Head,44,1-2,Diego Alves,Marcelo,7,32,1
315,11/02/2017,La Liga,Matchweek 22,Away,Real Madrid,Osasuna,Y,Right Foot,24,3-1,Salvatore Sirigu,Karim Benzema,7,32,1
316,29/01/2017,La Liga,Matchweek 20,Home,Real Madrid,Real Sociedad,Y,Right Foot,51,3-0,Gerónimo Rulli,Mateo Kovacic,7,32,1
317,25/01/2017,Copa del Rey,Quarter-finals,Away,Real Madrid,Celta Vigo,Y,Right Foot,62,2-2,Sergio Álvarez,Free kick,7,31,1
318,15/01/2017,La Liga,Matchweek 18,Away,Real Madrid,Sevilla,Y,Right Foot,67,1-2,Sergio Rico,Penalti,7,31,1
319,07/01/2017,La Liga,Matchweek 17,Home,Real Madrid,Granada,Y,Head,27,5-0,Guillermo Ochoa,Marcelo,7,31,1
320,18/12/2016,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Left Foot,104,4-2,Sogahata,Toni Kroos,7,31,1
321,18/12/2016,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Left Foot,97,4-2,Sogahata,Karim Benzema,7,31,1
322,18/12/2016,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Right Foot,60,4-2,Sogahata,Penalti,7,31,1
323,15/12/2016,Club World Cup,Semi-finals,Neutral,Real Madrid,América,Y,Right Foot,90+3,2-0,Moses Muñoz,James Rodríguez,7,31,1
324,26/11/2016,La Liga,Matchweek 13,Home,Real Madrid,Sporting Gijón,Y,Head,18,2-1,Diego Mariño,Nacho,7,31,1
325,26/11/2016,La Liga,Matchweek 13,Home,Real Madrid,Sporting Gijón,Y,Right Foot,5,2-1,Diego Mariño,Penalti,7,31,1
326,19/11/2016,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,77,3-0,Jan Oblak,Gareth Bale,7,31,1
327,19/11/2016,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,71,3-0,Jan Oblak,Penalti,7,31,1
328,19/11/2016,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,23,3-0,Jan Oblak,Free kick,7,31,1
329,13/11/2016,WCQ,First round,Home,Portugal,Latvia,Y*,Right Foot,85,2-1,Andris Vanins,Ricardo Quaresma,7,31,1
330,13/11/2016,WCQ,First round,Home,Portugal,Latvia,Y*,Right Foot,28,2-1,Andris Vanins,Penalti,7,31,1
331,29/10/2016,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,88,4-1,Fernando Pacheco,Marcelo,7,31,1
332,29/10/2016,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,33,4-1,Fernando Pacheco,Karim Benzema,7,31,1
333,29/10/2016,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,17,4-1,Fernando Pacheco,Penalti,7,31,1
334,15/10/2016,La Liga,Matchweek 8,Away,Real Madrid,Betis,Y,Right Foot,78,6-1,Antonio Adán,Álvaro Morata,7,31,1
335,10/10/2016,WCQ,First round,Away,Portugal,Faroe Islands,Y*,Left Foot,65,3-0,Gunnar Nielsen,Joao Mario,7,31,1
336,07/10/2016,WCQ,First round,Home,Portugal,Andorra,Y*,Left Foot,68,4-0,Josep Gómes,José Fonte,7,31,1
337,07/10/2016,WCQ,First round,Home,Portugal,Andorra,Y*,Right Foot,47,4-0,Josep Gómes,Andre Gomes,7,31,1
338,07/10/2016,WCQ,First round,Home,Portugal,Andorra,Y*,Head,4,4-0,Josep Gómes,Ricardo Quaresma,7,31,1
339,07/10/2016,WCQ,First round,Home,Portugal,Andorra,Y*,Left Foot,2,4-0,Josep Gómes,No assist,7,31,1
340,27/09/2016,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Right Foot,17,2-2,Roman Burki,Gareth Bale,7,31,1
341,14/09/2016,Champions League,Group stage,Home,Real Madrid,Sporting CP,Y,Right Foot,89,2-1,Rui Patrício,Free kick,7,31,1
342,10/09/2016,La Liga,Matchweek 3,Home,Real Madrid,Osasuna,Y,Right Foot,6,5-2,Nauzet Pérez,Gareth Bale,7,31,1
343,06/07/2016,UEFA Euro,Semi-finals,Neutral,Portugal,Wales,Y*,Head,50,0-0,Wayne Hennessey,Raphael Guerreiro,7,31,1
344,22/06/2016,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Head,62,2-3,Gábor Király,Ricardo Quaresma,7,31,1
345,22/06/2016,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Right Foot,50,2-3,Gábor Király,Joao Mario,7,31,1
346,08/06/2016,Friendlies (M),Frendly,Home,Portugal,Estonia,Y*,Right Foot,45,2-0,Pavel Londak,Joao Mario,7,31,1
347,08/06/2016,Friendlies (M),Frendly,Home,Portugal,Estonia,Y*,Head,36,2-0,Pavel Londak,Ricardo Quaresma,7,31,1
348,14/05/2016,La Liga,Matchweek 38,Away,Real Madrid,La Coruña,Y,Head,25,2-0,Stipe Pletikosa,Toni Kroos,7,31,1
349,14/05/2016,La Liga,Matchweek 38,Away,Real Madrid,La Coruña,Y,Left Foot,7,2-0,Stipe Pletikosa,Karim Benzema,7,31,1
350,08/05/2016,La Liga,Matchweek 37,Home,Real Madrid,Valencia,Y,Left Foot,59,3-2,Diego Alves,James Rodríguez,7,31,1
351,08/05/2016,La Liga,Matchweek 37,Home,Real Madrid,Valencia,Y,Right Foot,26,3-2,Diego Alves,Marcelo,7,31,1
352,16/04/2016,La Liga,Matchweek 33,Away,Real Madrid,Getafe,Y,Left Foot,90+2,5-1,Vicente Guaita,Jesé,7,31,1
353,12/04/2016,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Right Foot,77,3-0,Diego Benaglio,Free kick,7,31,1
354,12/04/2016,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Head,17,3-0,Diego Benaglio,Toni Kroos,7,31,1
355,12/04/2016,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Right Foot,15,3-0,Diego Benaglio,Dani Carvajal,7,31,1
356,09/04/2016,La Liga,Matchweek 32,Home,Real Madrid,Eibar,Y,Right Foot,19,4-0,Asier Riesgo,Jesé,7,31,1
357,02/04/2016,La Liga,Matchweek 31,Away,Real Madrid,Barcelona,Y,Right Foot,85,2-1,Claudio Bravo,Gareth Bale,7,31,1
358,29/03/2016,Friendlies (M),Frendly,Home,Portugal,Belgium,Y*,Head,40,1-0,Thibaut Courtois,Joao Mario,7,31,1
359,20/03/2016,La Liga,Matchweek 30,Home,Real Madrid,Sevilla,Y,Right Foot,64,4-0,Sergio Rico,Danilo,7,31,1
360,08/03/2016,Champions League,Round of 16,Home,Real Madrid,Roma,Y,Right Foot,64,2-0,Wojciech Szczesny,Lucas Vázquez,7,31,1
361,05/03/2016,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Head,76,7-1,Rubén Blanco,Jesé,7,31,1
362,05/03/2016,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,64,7-1,Rubén Blanco,Isco,7,31,1
363,05/03/2016,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,58,7-1,Rubén Blanco,Free kick,7,31,1
364,05/03/2016,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,50,7-1,Rubén Blanco,Sergio Ramos,7,31,1
365,02/03/2016,La Liga,Matchweek 27,Away,Real Madrid,Levante,Y,Right Foot,34,3-1,Diego Mariño,Penalti,7,31,1
366,21/02/2016,La Liga,Matchweek 25,Away,Real Madrid,Malaga,Y,Head,33,1-1,Carlos Kameni,Toni Kroos,7,31,1
367,17/02/2016,Champions League,Round of 16,Away,Real Madrid,Roma,Y,Right Foot,57,2-0,Wojciech Szczesny,Marcelo,7,31,1
368,13/02/2016,La Liga,Matchweek 24,Home,Real Madrid,Athletic Club,Y,Right Foot,87,4-2,Gorka Iraizoz,Lucas Vázquez,7,31,1
369,13/02/2016,La Liga,Matchweek 24,Home,Real Madrid,Athletic Club,Y,Right Foot,3,4-2,Gorka Iraizoz,Karim Benzema,7,31,1
370,31/01/2016,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Head,82,6-0,Giedrius Arlauskis,Jesé,7,31,1
