,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
154,2009-12-05,La Liga,Matchweek 13,Home,Real Madrid,Almería,Y,Right Foot,84,4-2,Diego Alves,Gonzalo Higuaín,1,24,9,CF,Win
155,2009-12-08,Champions League,Group stage,Away,Real Madrid,Marseille,Y,Right Foot,5,3-1,Steve Mandanda,Free kick,1,24,9,CF,Win
156,2009-12-08,Champions League,Group stage,Away,Real Madrid,Marseille,Y,Right Foot,80,3-1,Steve Mandanda,Lassana Diarra,1,24,9,CF,Win
157,2009-12-19,La Liga,Matchweek 15,Home,Real Madrid,Zaragoza,Y,Left Foot,49,6-0,Javier López Vallejo,Ezequiel Garay,1,24,9,CF,Win
158,2010-01-24,La Liga,Matchweek 19,Home,Real Madrid,Malaga,Y,Right Foot,39,2-0,Gustavo Munúa,Guti,1,24,9,RW,Win
159,2010-01-24,La Liga,Matchweek 19,Home,Real Madrid,Malaga,Y,Right Foot,35,2-0,Gustavo Munúa,Kaká,1,24,9,RW,Win
160,2010-02-13,La Liga,Matchweek 22,Away,Real Madrid,Xerez,Y,Left Foot,71,3-0,Renan Brito Soares,Kaká,1,25,9,CF,Win
161,2010-02-13,La Liga,Matchweek 22,Away,Real Madrid,Xerez,Y,Head,69,3-0,Renan Brito Soares,Kaká,1,25,9,CF,Win
162,2010-02-21,La Liga,Matchweek 23,Home,Real Madrid,Villarreal,Y,Right Foot,18,6-2,Diego López,Free kick,1,25,9,CF,Win
163,2010-02-27,La Liga,Matchweek 24,Away,Real Madrid,Tenerife,Y,Right Foot,79,5-1,Sergio Aragoneses,Penalty,1,25,9,CF,Win
164,2010-03-06,La Liga,Matchweek 25,Home,Real Madrid,Sevilla,Y,Left Foot,59,3-2,Andrés Palop,No assist,1,25,9,CF,Win
165,2010-03-10,Champions League,Round of 16,Home,Real Madrid,Lyon,Y,Left Foot,6,1-1,Hugo Lloris,Guti,1,25,9,CF,Draw
166,2010-03-14,La Liga,Matchweek 26,Away,Real Madrid,Valladolid,Y,Right Foot,28,4-1,Justo Villar,Free kick,1,25,9,CF,Win
167,2010-03-25,La Liga,Matchweek 28,Away,Real Madrid,Getafe,Y,Right Foot,13,4-2,Ãscar Ustari,Free kick,1,25,9,CF,Win
168,2010-03-25,La Liga,Matchweek 28,Away,Real Madrid,Getafe,Y,Right Foot,37,4-2,Ãscar Ustari,No assist,1,25,9,CF,Win
